Internal - All,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Address,Content,Status Code,Status,Indexability,Indexability Status,Title 1,Title 1 Length,Title 1 Pixel Width,Title 2,Title 2 Length,Title 2 Pixel Width,Meta Description 1,Meta Description 1 Length,Meta Description 1 Pixel Width,Meta Keyword 1,Meta Keywords 1 Length,H1-1,H1-1 length,H1-2,H1-2 length,H2-1,H2-1 length,H2-2,H2-2 length,Meta Robots 1,Meta Refresh 1,Canonical Link Element 1,"rel=""next"" 1","rel=""prev"" 1",Size (bytes),Word Count,Text Ratio,Crawl Depth,Link Score,Inlinks,Unique Inlinks,% of Total,Outlinks,Unique Outlinks,External Outlinks,Unique External Outlinks,Hash,Response Time,Last Modified,Redirect URL,Redirect Type,URL Encoded Address
https://www.virginholidays.co.uk/.resources/virginholidays-web-vhols/versioned/js/customer/virginholidays-web-vhols-3.1.0-customer.min.js,application/javascript;charset=UTF-8,200,OK,Indexable,,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,119385,0,0,2,,0,0,0,0,0,0,0,,0.433,"Fri, 14 Dec 2018 10:47:40 UTC",,,https://www.virginholidays.co.uk/.resources/virginholidays-web-vhols/versioned/js/customer/virginholidays-web-vhols-3.1.0-customer.min.js
https://www.virginholidays.co.uk/.imaging/Tablet/dam/50a9bf5e-90dc-4d00-b45b-ced8158f1265.jpg,image/jpeg;charset=UTF-8,200,OK,Indexable,,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,71724,0,0,4,,0,0,0,0,0,0,0,,0.063,"Wed, 02 Jan 2019 12:09:11 CET",,,https://www.virginholidays.co.uk/.imaging/Tablet/dam/50a9bf5e-90dc-4d00-b45b-ced8158f1265.jpg
https://www.virginholidays.co.uk/destinations/florida/miami-offers,text/html;charset=UTF-8,200,OK,Indexable,,Miami Holiday Deals & Offers | Virgin Holidays,46,369,,0,0,Book your flights and stay in one of our hand-picked Miami hotels with Virgin Holidays.,87,500,,0,Offers in Miami,15,,0,Book your perfect holiday direct,32,,0,,,https://www.virginholidays.co.uk/destinations/florida/miami-offers,,,764640,684,0.69313663,3,,13,8,0.3,63,40,26,21,ef2d7fbaa4e4c44682721b0f4c321ca9,0.847,"Wed, 02 Jan 2019 11:03:56 UTC",,,https://www.virginholidays.co.uk/destinations/florida/miami-offers
https://www.virginholidays.co.uk/destinations/asia-and-far-east/malaysia/kuala-lumpur/doubletree-kuala-lumpur-holidays,text/html;charset=UTF-8,404,Not Found,Non-Indexable,Client Error,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,0,0,0,5,,1,1,0.04,0,0,0,0,,0.458,,,,https://www.virginholidays.co.uk/destinations/asia-and-far-east/malaysia/kuala-lumpur/doubletree-kuala-lumpur-holidays
https://www.virginholidays.co.uk/canada/tour/rocky-mountaineer---first-passage-to-the-west,,301,Moved Permanently,Non-Indexable,Redirected,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,0,0,0,4,,0,0,0,0,0,0,0,,0.018,,https://www.virginholidays.co.uk/destinations/canada/tours/rocky-mountaineer---first-passage-to-the-west---lake-louise-eastbound-westbound,HTTP Redirect,https://www.virginholidays.co.uk/canada/tour/rocky-mountaineer---first-passage-to-the-west
https://www.virginholidays.co.uk/destinations/africa/madikwe/multi-destination/4-nights-sun-city---3-nights-madikwe,text/html;charset=UTF-8,200,OK,Non-Indexable,Canonicalised,4 Nights Sun City - 3 Nights Madikwe | Virgin Holidays,54,432,,0,0,4 Nights Sun City - 3 Nights Madikwe,36,217,,0,4 Nights Sun City - 3 Nights Madikwe,36,,0,Highlights,10,Can't find what you're looking for?,35,,,https://www.virginholidays.co.uk/madikwe/multidestination/4-nights-sun-city---3-nights-madikwe,,,323270,1040,2.2618864,3,,5,3,0.11,53,39,28,21,1037330ebfbaf0c47b93266952dbb8c7,0.322,"Wed, 02 Jan 2019 11:03:57 UTC",,,https://www.virginholidays.co.uk/destinations/africa/madikwe/multi-destination/4-nights-sun-city---3-nights-madikwe
"https://www.virginholidays.co.uk/holiday/banff/the-rimrock-resort-hotel/options?departureDate=29-03-2019&duration=7&gateway=LHR&room=a2,i0&searchType=deal",,0,Blocked by robots.txt,Non-Indexable,Blocked by robots.txt,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,0,0,0,3,,3,1,0.04,0,0,0,0,,,,,,"https://www.virginholidays.co.uk/holiday/banff/the-rimrock-resort-hotel/options?departureDate=29-03-2019&duration=7&gateway=LHR&room=a2,i0&searchType=deal"
https://www.virginholidays.co.uk/destinations/usa/hawaii/kauai-offers,text/html;charset=UTF-8,200,OK,Indexable,,Kauai Holiday Deals & Offers | Virgin Holidays,46,368,,0,0,Book your flights and stay in one of our hand-picked Kauai hotels with Virgin Holidays.,87,498,,0,Offers in Kauai,15,,0,Book your perfect holiday direct,32,,0,,,https://www.virginholidays.co.uk/destinations/usa/hawaii/kauai-offers,,,740074,678,0.7079022,3,,8,4,0.15,61,39,26,21,f7440ca211fdf96b2a02f9de9810cb10,0.615,"Wed, 02 Jan 2019 11:03:57 UTC",,,https://www.virginholidays.co.uk/destinations/usa/hawaii/kauai-offers
https://www.virginholidays.co.uk/destinations/middle-east/oman/shangri-la-al-husn-resort-and-spa-holidays,text/html;charset=UTF-8,404,Not Found,Non-Indexable,Client Error,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,0,0,0,5,,1,1,0.04,0,0,0,0,,0.309,,,,https://www.virginholidays.co.uk/destinations/middle-east/oman/shangri-la-al-husn-resort-and-spa-holidays
https://www.virginholidays.co.uk/.imaging/Desktop/dam/f05c304d-37d6-4a06-91dd-abbb4d993795.png,image/png;charset=UTF-8,200,OK,Indexable,,,0,0,,0,0,,0,0,,0,,0,,0,,0,,0,,,,,,686,0,0,3,,0,0,0,0,0,0,0,,0.373,"Wed, 02 Jan 2019 11:03:57 UTC",,,https://www.virginholidays.co.uk/.imaging/Desktop/dam/f05c304d-37d6-4a06-91dd-abbb4d993795.png
